location,size,total_sqft,bath,price,price_per_sqft,bhk
7th Phase JP Nagar,3,1600.0,2,110.0,6875.0,3
7th Phase JP Nagar,3,1765.0,3,118.0,6685.552407932011,3
7th Phase JP Nagar,3,1275.0,2,88.0,6901.9607843137255,3
7th Phase JP Nagar,3,1450.0,2,102.0,7034.482758620689,3
7th Phase JP Nagar,3,1575.0,2,110.0,6984.126984126984,3
7th Phase JP Nagar,1,750.0,1,47.0,6266.666666666667,1
7th Phase JP Nagar,2,990.0,2,50.0,5050.50505050505,2
7th Phase JP Nagar,1,1000.0,1,60.0,6000.0,1
7th Phase JP Nagar,3,1430.0,2,102.0,7132.867132867133,3
7th Phase JP Nagar,2,1128.0,2,60.0,5319.148936170212,2
7th Phase JP Nagar,2,1140.0,2,57.0,5000.0,2
7th Phase JP Nagar,3,1420.0,3,90.0,6338.028169014085,3
7th Phase JP Nagar,2,1530.0,2,108.0,7058.823529411765,2
8th Phase JP Nagar,2,1042.0,2,54.005,5182.821497120921,2
8th Phase JP Nagar,1,451.0,1,29.9,6629.711751662971,1
8th Phase JP Nagar,2,1062.0,2,42.47,3999.058380414313,2
8th Phase JP Nagar,3,1455.0,3,73.31,5038.487972508591,3
8th Phase JP Nagar,2,871.0,2,55.0,6314.580941446613,2
8th Phase JP Nagar,2,1098.0,2,43.91,3999.089253187614,2
8th Phase JP Nagar,3,1800.0,3,80.0,4444.444444444444,3
8th Phase JP Nagar,4,2700.0,4,130.0,4814.814814814815,4
8th Phase JP Nagar,2,1080.0,2,38.0,3518.5185185185187,2
8th Phase JP Nagar,2,1059.0,2,34.5,3257.790368271955,2
8th Phase JP Nagar,2,1080.0,2,35.0,3240.740740740741,2
8th Phase JP Nagar,2,1062.0,2,42.47,3999.058380414313,2
8th Phase JP Nagar,1,500.0,1,31.0,6200.0,1
8th Phase JP Nagar,2,1100.0,2,35.0,3181.818181818182,2
8th Phase JP Nagar,4,2100.0,4,92.0,4380.952380952381,4
8th Phase JP Nagar,2,1035.0,2,39.33,3800.0,2
8th Phase JP Nagar,2,909.0,2,40.9,4499.4499449945,2
8th Phase JP Nagar,3,1408.0,3,72.02,5115.056818181818,3
8th Phase JP Nagar,3,1900.0,4,90.0,4736.8421052631575,3
8th Phase JP Nagar,1,500.0,1,30.0,6000.0,1
8th Phase JP Nagar,2,1125.0,2,36.94,3283.555555555556,2
8th Phase JP Nagar,2,1100.0,2,35.0,3181.818181818182,2
8th Phase JP Nagar,2,1089.0,2,43.55,3999.0817263544536,2
8th Phase JP Nagar,3,1504.0,2,83.0,5518.617021276596,3
8th Phase JP Nagar,4,2600.0,4,115.0,4423.076923076923,4
8th Phase JP Nagar,2,1089.0,2,43.55,3999.0817263544536,2
8th Phase JP Nagar,2,1513.0,2,62.0,4097.818902842036,2
8th Phase JP Nagar,2,1298.0,2,59.0,4545.454545454545,2
8th Phase JP Nagar,2,1006.0,2,44.0,4373.75745526839,2
8th Phase JP Nagar,1,500.0,1,33.0,6600.0,1
8th Phase JP Nagar,2,1160.0,2,95.0,8189.6551724137935,2
8th Phase JP Nagar,2,1245.0,2,59.0,4738.955823293173,2
8th Phase JP Nagar,2,1510.0,2,80.0,5298.013245033113,2
8th Phase JP Nagar,3,3300.0,3,165.0,5000.0,3
8th Phase JP Nagar,5,1730.0,5,75.0,4335.260115606937,5
8th Phase JP Nagar,2,1046.0,2,48.0,4588.910133843212,2
8th Phase JP Nagar,3,1408.0,3,80.0,5681.818181818182,3
9th Phase JP Nagar,2,1005.0,2,50.0,4975.124378109453,2
9th Phase JP Nagar,2,1100.0,2,65.0,5909.090909090909,2
9th Phase JP Nagar,2,1080.0,2,37.0,3425.925925925926,2
9th Phase JP Nagar,2,1035.0,2,45.0,4347.826086956522,2
9th Phase JP Nagar,4,5000.0,4,290.0,5800.0,4
9th Phase JP Nagar,2,1164.0,2,56.0,4810.996563573884,2
9th Phase JP Nagar,2,1005.0,2,42.0,4179.104477611941,2
9th Phase JP Nagar,2,1127.0,2,50.0,4436.557231588287,2
9th Phase JP Nagar,2,1005.0,2,43.0,4278.606965174129,2
9th Phase JP Nagar,2,835.0,2,37.0,4431.137724550898,2
9th Phase JP Nagar,2,1050.0,2,39.0,3714.285714285714,2
9th Phase JP Nagar,2,660.0,2,27.0,4090.909090909091,2
9th Phase JP Nagar,1,600.0,1,20.0,3333.333333333333,1
9th Phase JP Nagar,2,1466.0,2,71.0,4843.110504774898,2
9th Phase JP Nagar,3,1890.0,2,93.0,4920.6349206349205,3
9th Phase JP Nagar,2,1079.0,2,60.0,5560.704355885079,2
9th Phase JP Nagar,2,1480.0,2,80.0,5405.405405405405,2
9th Phase JP Nagar,2,1200.0,2,80.0,6666.666666666667,2
9th Phase JP Nagar,2,905.0,2,32.0,3535.9116022099447,2
9th Phase JP Nagar,2,1073.0,2,52.36,4879.77632805219,2
9th Phase JP Nagar,3,1719.3,2,88.0,5118.362124120282,3
9th Phase JP Nagar,3,1780.0,3,88.0,4943.820224719101,3
9th Phase JP Nagar,3,1522.0,3,90.0,5913.272010512484,3
9th Phase JP Nagar,2,890.0,2,45.0,5056.179775280899,2
9th Phase JP Nagar,4,5000.0,4,300.0,6000.0,4
9th Phase JP Nagar,2,1050.0,2,35.0,3333.333333333333,2
9th Phase JP Nagar,2,1331.95,2,69.0,5180.374638687638,2
AECS Layout,2,1100.0,2,45.0,4090.909090909091,2
AECS Layout,2,1028.0,2,42.0,4085.603112840467,2
AECS Layout,2,1199.0,2,65.0,5421.184320266889,2
AECS Layout,2,1080.0,2,55.0,5092.592592592592,2
AECS Layout,2,1123.0,2,64.0,5699.020480854853,2
AECS Layout,2,1308.0,2,60.0,4587.155963302752,2
AECS Layout,2,1005.0,2,55.0,5472.636815920398,2
Abbigere,2,985.0,2,40.39,4100.507614213198,2
Abbigere,6,2200.0,6,68.0,3090.909090909091,6
Abbigere,1,765.0,2,30.0,3921.56862745098,1
Abbigere,2,880.0,2,35.0,3977.272727272728,2
Abbigere,2,795.0,2,32.54,4093.0817610062895,2
Abbigere,2,1005.0,2,39.59,3939.303482587065,2
Abbigere,1,734.0,1,19.82,2700.272479564033,1
Abbigere,2,1020.0,2,41.82,4100.0,2
Abbigere,2,985.0,2,40.39,4100.507614213198,2
Abbigere,6,2500.0,6,81.0,3240.0,6
Abbigere,2,795.0,2,32.54,4093.0817610062895,2
Abbigere,2,1130.0,2,46.33,4100.0,2
Abbigere,2,795.0,1,32.6,4100.62893081761,2
Abbigere,8,3000.0,8,150.0,5000.0,8
Abbigere,2,985.0,2,38.92,3951.269035532995,2
Abbigere,2,1000.0,2,41.0,4100.0,2
Abbigere,2,995.0,2,40.8,4100.5025125628135,2
Abbigere,2,1020.0,2,40.8,4000.0,2
Akshaya Nagar,2,1388.0,2,57.0,4106.628242074928,2
Akshaya Nagar,2,1070.0,2,54.0,5046.728971962617,2
Akshaya Nagar,2,1280.0,2,58.0,4531.25,2
Akshaya Nagar,3,1662.0,3,85.1,5120.336943441636,3
Akshaya Nagar,3,1897.0,3,120.0,6325.77754348972,3
Akshaya Nagar,3,1410.0,2,75.0,5319.148936170212,3
Akshaya Nagar,3,1360.0,2,85.0,6250.0,3
Akshaya Nagar,3,1410.0,2,80.0,5673.758865248227,3
Akshaya Nagar,3,1662.0,3,85.0,5114.320096269555,3
Akshaya Nagar,3,1662.0,3,85.5,5144.404332129964,3
Akshaya Nagar,2,1280.0,2,60.0,4687.5,2
Akshaya Nagar,3,1666.0,3,95.0,5702.280912364946,3
Akshaya Nagar,3,1575.0,3,90.0,5714.285714285715,3
Akshaya Nagar,3,1430.0,2,75.0,5244.755244755244,3
Akshaya Nagar,3,1419.0,2,73.0,5144.46793516561,3
Akshaya Nagar,2,1280.0,2,60.0,4687.5,2
Akshaya Nagar,2,1200.0,2,50.0,4166.666666666667,2
Akshaya Nagar,2,1092.0,2,60.0,5494.505494505494,2
Akshaya Nagar,3,1690.0,3,85.0,5029.585798816568,3
Akshaya Nagar,3,1897.0,4,93.0,4902.477596204533,3
Akshaya Nagar,3,1884.0,3,98.0,5201.698513800425,3
Akshaya Nagar,2,1314.0,2,68.8,5235.920852359209,2
Akshaya Nagar,3,1690.0,3,85.0,5029.585798816568,3
Akshaya Nagar,2,1265.0,2,67.0,5296.442687747036,2
Akshaya Nagar,2,1126.0,2,55.0,4884.547069271758,2
Akshaya Nagar,3,1662.0,3,90.0,5415.162454873646,3
Akshaya Nagar,3,1420.0,2,75.0,5281.69014084507,3
Akshaya Nagar,3,1412.0,2,88.0,6232.294617563739,3
Akshaya Nagar,3,1434.0,3,84.0,5857.740585774059,3
Akshaya Nagar,3,1890.0,4,100.0,5291.005291005291,3
Akshaya Nagar,3,1419.0,2,87.0,6131.07822410148,3
Akshaya Nagar,2,1300.0,2,54.0,4153.846153846154,2
Akshaya Nagar,3,1690.0,3,85.0,5029.585798816568,3
Akshaya Nagar,2,1113.0,2,52.0,4672.057502246182,2
Akshaya Nagar,3,1820.0,4,95.0,5219.780219780219,3
Akshaya Nagar,2,1100.0,2,48.0,4363.636363636364,2
Akshaya Nagar,3,1896.0,3,102.0,5379.7468354430375,3
Akshaya Nagar,2,1300.0,2,66.0,5076.923076923077,2
Akshaya Nagar,2,1225.0,2,68.0,5551.0204081632655,2
Akshaya Nagar,2,1179.0,2,51.0,4325.699745547074,2
Akshaya Nagar,3,1421.0,2,73.0,5137.227304714989,3
Akshaya Nagar,3,1893.0,4,95.0,5018.489170628632,3
Akshaya Nagar,2,900.0,2,45.0,5000.0,2
Ambalipura,2,1105.0,2,75.0,6787.330316742082,2
Ambalipura,3,1800.0,3,110.0,6111.111111111111,3
Ambalipura,2,1150.0,2,80.0,6956.521739130435,2
Ambalipura,2,1250.0,2,66.25,5300.0,2
Ambalipura,2,1332.0,2,79.0,5930.930930930931,2
Ambalipura,3,1730.0,3,120.0,6936.416184971098,3
Ambalipura,2,1230.0,2,66.25,5386.178861788618,2
Ambalipura,2,1351.0,2,77.0,5699.481865284974,2
Ambalipura,2,1303.0,2,80.0,6139.677666922486,2
Ambalipura,3,1607.0,2,112.0,6969.508400746733,3
Ambalipura,1,770.0,1,43.82,5690.909090909091,1
Ambalipura,2,1700.0,2,76.0,4470.588235294118,2
Ambalipura,2,1060.0,2,58.5,5518.867924528302,2
Ambalipura,3,1650.0,3,100.0,6060.606060606061,3
Ambalipura,3,1607.0,2,112.0,6969.508400746733,3
Ambalipura,2,1198.0,2,80.0,6677.79632721202,2
Ambedkar Nagar,3,1935.0,4,130.0,6718.346253229975,3
Ambedkar Nagar,2,1424.0,2,90.0,6320.224719101124,2
Ambedkar Nagar,3,2225.0,4,169.0,7595.505617977528,3
Ambedkar Nagar,3,1862.0,3,120.0,6444.68313641246,3
Ambedkar Nagar,3,1850.0,4,139.0,7513.513513513513,3
Ambedkar Nagar,3,1936.0,4,126.0,6508.264462809917,3
Ambedkar Nagar,3,1862.0,3,119.0,6390.977443609023,3
Ambedkar Nagar,2,1424.0,2,90.0,6320.224719101124,2
Ambedkar Nagar,3,2150.0,4,125.0,5813.953488372093,3
Ambedkar Nagar,4,3530.0,4,290.0,8215.297450424929,4
Ambedkar Nagar,3,1856.0,3,120.0,6465.517241379311,3
Ambedkar Nagar,3,1852.0,3,130.0,7019.438444924406,3
Ambedkar Nagar,3,1850.0,4,120.0,6486.486486486487,3
Ambedkar Nagar,2,1367.0,2,86.0,6291.148500365764,2
Ambedkar Nagar,4,3565.0,4,255.0,7152.875175315568,4
Ambedkar Nagar,2,1409.0,2,95.0,6742.370475514549,2
Ambedkar Nagar,3,1950.0,4,120.0,6153.846153846154,3
Ambedkar Nagar,3,1921.0,4,129.0,6715.252472670484,3
Ambedkar Nagar,3,1920.0,4,121.0,6302.083333333333,3
Ambedkar Nagar,3,1935.0,4,125.0,6459.948320413437,3
Ambedkar Nagar,3,1852.0,4,122.0,6587.473002159827,3
Ambedkar Nagar,3,1950.0,4,120.0,6153.846153846154,3
Ambedkar Nagar,3,1852.0,3,125.0,6749.460043196545,3
Ambedkar Nagar,3,1850.0,4,121.0,6540.540540540541,3
Ambedkar Nagar,2,1425.0,2,94.0,6596.491228070176,2
Ambedkar Nagar,3,2395.0,4,150.0,6263.048016701461,3
Amruthahalli,2,900.0,2,40.0,4444.444444444444,2
Amruthahalli,2,1200.0,2,55.0,4583.333333333333,2
Amruthahalli,3,1900.0,3,135.0,7105.263157894737,3
Amruthahalli,2,924.0,2,45.0,4870.12987012987,2
Amruthahalli,2,900.0,2,60.0,6666.666666666667,2
Amruthahalli,2,1100.0,2,45.0,4090.909090909091,2
Amruthahalli,2,1200.0,2,55.0,4583.333333333333,2
Amruthahalli,3,1450.0,2,85.0,5862.068965517241,3
Amruthahalli,2,1200.0,2,55.0,4583.333333333333,2
Amruthahalli,2,1250.0,2,79.0,6320.0,2
Amruthahalli,2,1190.0,2,50.0,4201.680672268908,2
Amruthahalli,2,1202.0,2,65.0,5407.65391014975,2
Amruthahalli,2,1340.0,2,75.0,5597.014925373134,2
Amruthahalli,3,2650.0,4,175.0,6603.773584905661,3
Amruthahalli,3,1450.0,2,90.0,6206.896551724138,3
Amruthahalli,2,1025.0,2,42.0,4097.5609756097565,2
Amruthahalli,1,485.0,1,19.5,4020.618556701031,1
Anandapura,2,1167.0,2,43.76,3749.785775492716,2
Anandapura,2,1000.0,2,55.0,5500.0,2
Anandapura,2,1141.0,2,42.79,3750.219106047327,2
Anandapura,2,1200.0,2,67.0,5583.333333333333,2
Anandapura,2,1200.0,2,58.0,4833.333333333333,2
Anandapura,2,1151.0,2,43.1,3744.569939183319,2
Anandapura,2,1141.0,2,42.75,3746.713409290097,2
Anandapura,2,900.0,2,48.0,5333.333333333333,2
Anandapura,4,1749.0,4,90.0,5145.797598627787,4
Anandapura,2,1151.0,2,42.9,3727.193744569939,2
Anandapura,2,1250.0,2,45.0,3600.0,2
Anandapura,2,1151.0,2,43.16,3749.7827975673326,2
Anandapura,2,1200.0,2,58.0,4833.333333333333,2
Anandapura,3,1200.0,2,66.0,5500.0,3
Anandapura,3,1415.0,2,74.0,5229.681978798587,3
Anandapura,2,1200.0,2,50.0,4166.666666666667,2
Anandapura,2,1141.0,2,50.0,4382.120946538124,2
Ananth Nagar,1,500.0,1,14.0,2800.0,1
Ananth Nagar,2,1100.0,2,31.5,2863.6363636363635,2
Ananth Nagar,2,982.0,2,24.55,2500.0,2
Ananth Nagar,1,500.0,2,14.0,2800.0,1
Ananth Nagar,2,900.0,2,22.5,2500.0,2
Ananth Nagar,2,908.0,2,26.0,2863.4361233480176,2
Ananth Nagar,2,870.0,2,36.0,4137.931034482759,2
Ananth Nagar,2,937.0,2,35.0,3735.325506937033,2
Ananth Nagar,2,960.0,2,37.0,3854.1666666666665,2
Ananth Nagar,1,500.0,1,14.0,2800.0,1
Ananth Nagar,2,1000.0,2,29.7,2970.0,2
Ananth Nagar,2,850.0,2,25.99,3057.6470588235293,2
Ananth Nagar,2,902.0,2,25.26,2800.4434589800444,2
Ananth Nagar,3,1470.0,3,54.0,3673.469387755102,3
Ananth Nagar,2,810.0,2,25.5,3148.1481481481483,2
Ananth Nagar,2,890.0,2,27.0,3033.7078651685392,2
Ananth Nagar,2,1200.0,2,36.0,3000.0,2
Ananth Nagar,3,1319.0,3,42.0,3184.230477634572,3
Ananth Nagar,2,1000.0,2,25.0,2500.0,2
Ananth Nagar,2,902.0,2,25.0,2771.6186252771618,2
Ananth Nagar,2,930.0,2,25.99,2794.6236559139784,2
Ananth Nagar,2,1074.0,2,26.85,2500.0,2
Ananth Nagar,1,500.0,1,14.0,2800.0,1
Ananth Nagar,2,1010.0,2,38.0,3762.3762376237614,2
Ananth Nagar,2,992.0,2,24.8,2500.0,2
Anekal,2,1200.0,1,36.0,3000.0,2
Anekal,2,656.0,2,22.0,3353.6585365853657,2
Anekal,2,620.0,2,22.0,3548.3870967741937,2
Anekal,1,600.0,1,16.5,2750.0,1
Anekal,2,925.0,2,40.0,4324.324324324324,2
Anekal,1,530.0,1,18.0,3396.22641509434,1
Anekal,3,1800.0,3,68.0,3777.777777777778,3
Anekal,2,1200.0,1,36.0,3000.0,2
Anekal,2,1035.0,2,38.3,3700.483091787439,2
Anekal,2,888.0,2,34.0,3828.828828828829,2
Anekal,2,1200.0,2,36.1,3008.333333333333,2
Anekal,2,700.0,1,19.4,2771.428571428571,2
Anekal,2,1200.0,1,36.0,3000.0,2
Anekal,4,1200.0,2,36.0,3000.0,4
